cod_ibge,municipio,regional_saude,nivel,score,alerta_inteligente_nivel,alerta_inteligente_score,probabilidade_escalada_operacional_pct,score_climatico_preditivo,score_assistencial_preditivo,score_ar_preditivo,score_vulnerabilidade,score_saude_sensivel,score_capacidade_protetora,tmax,utci_proxy,risco_cumulativo_3d,tmax_max_7d,utci_proxy_max_7d,risco_cumulativo_3d_max_7d,ocupacao_leitos_pct,pressao_calor_pct,pm25_ugm3,iq_ar_score,indice_vulnerabilidade_calor,indice_capacidade_cnes,eventos_saude_calor,recomendacao_operacional,gerado_em
5105200,Juscimeira,ERS Rondonópolis,verde,0,verde,12.4,12.4,19.73,7.17,0.0,38.73,13.38,60.87,17.1,16.7,0.9089358503688789,31.7,30.940000000000005,2.973069525381691,45.65419474785034,32.96786504612732,2.9924330195147166,0,47.112676056338024,60.87470449172577,215,Manter vigilância de rotina.,2026-06-19 10:28:33
5105234,Lambari D'Oeste,ERS Cáceres,verde,0,verde,12.28,12.3,21.77,6.26,0.0,15.04,14.63,15.84,19.1,18.34,0.0,31.1,30.860000000000007,4.41611068919787,45.65419474785034,31.957936323495236,4.058451718482475,0,30.52816901408451,15.839243498817964,235,Manter vigilância de rotina.,2026-06-19 10:28:33
5105259,Lucas do Rio Verde,ERS Sinop,verde,0,verde,25.3,25.3,22.26,7.79,0.0,74.75,100.0,91.78,19.6,19.52,1.5254330522355968,31.7,31.020000000000003,4.034517494179497,45.65419474785034,33.65286193709034,7.567322232889872,0,72.32394366197184,91.78486997635935,2952,Manter vigilância de rotina.,2026-06-19 10:28:33
5105309,Luciara,ERS São Félix do Araguaia,vermelha,3,verde,34.29,34.3,67.36,25.23,0.0,32.6,4.67,31.21,33.9,32.82,13.851706513028708,34.0,33.160000000000004,13.851706513028708,45.65419474785034,53.03205467130492,5.611795165815683,0,42.816901408450704,31.20567375886525,75,Manter vigilância de rotina. Emitir alerta antecipado para os próximos 7 dias com base na previsão meteorológica.,2026-06-19 10:28:33
5105507,Vila Bela da Santíssima Trindade,ERS Pontes e Lacerda,verde,0,verde,9.4,9.4,11.66,6.26,0.0,38.18,14.44,56.32,19.8,19.16,0.0,30.1,29.86,1.5530049074377903,45.65419474785034,31.957936323495236,4.793664707011323,0,46.72535211267606,56.32387706855791,232,Manter vigilância de rotina.,2026-06-19 10:28:33
5105580,Marcelândia,ERS Colíder,amarela,1,verde,26.57,26.6,34.57,15.26,4.58,60.76,42.76,52.9,29.3,29.060000000000002,6.70297257197533,32.3,31.939999999999998,8.26173513602614,45.65419474785034,41.95568362569005,11.90720048051182,0,62.53521126760564,52.89598108747045,687,Manter vigilância de rotina.,2026-06-19 10:28:33
5105606,Matupá,ERS Peixoto de Azevedo,amarela,1,verde,21.04,21.0,23.86,14.36,0.0,70.72,33.98,75.47,30.1,29.78,5.264813603412001,31.0,30.620000000000005,5.656537527690096,45.65419474785034,40.95772921617524,5.951573508532286,0,69.50704225352113,75.4728132387707,546,Manter vigilância de rotina.,2026-06-19 10:28:33
5105622,Mirassol d'Oeste,ERS Cáceres,verde,0,verde,13.63,13.6,10.89,6.26,0.0,51.26,54.33,79.73,18.0,17.439999999999998,0.0,30.1,29.78,1.280499233091133,45.65419474785034,31.957936323495236,3.7164133927154976,0,55.880281690140855,79.72813238770686,873,Manter vigilância de rotina.,2026-06-19 10:28:33
5105903,Nobres,ERS Diamantino,verde,0,verde,24.94,24.9,23.7,38.85,0.0,64.29,26.08,71.57,18.3,18.1,1.7292380682044701,32.2,31.560000000000002,3.8007259117022336,64.02439024390245,46.73844880207001,4.191714426540597,0,65.0,71.57210401891253,419,Manter vigilância de rotina.,2026-06-19 10:28:33
5106000,Nortelândia,ERS Diamantino,verde,0,verde,12.26,12.3,22.61,6.97,0.0,24.04,11.76,43.26,18.2,18.24,0.7126698247511492,31.9,31.18,3.892733044748404,45.65419474785034,32.74979168432985,7.6349977059585274,0,36.83098591549296,43.262411347517734,189,Manter vigilância de rotina.,2026-06-19 10:28:33
5106109,Nossa Senhora do Livramento,ERS Cuiabá,verde,0,verde,14.07,14.1,28.63,0.0,0.0,19.67,23.84,35.11,19.1,18.46,0.0,32.5,32.06,5.326662019097299,2.3076923076923075,1.6153846153846152,3.2782891793360553,0,33.767605633802816,35.1063829787234,383,Manter vigilância de rotina.,2026-06-19 10:28:33
5106158,Nova Bandeirantes,ERS Alta Floresta,amarela,1,verde,15.96,16.0,29.41,0.0,0.0,39.94,22.28,52.66,26.1,26.18,1.5852001760489447,31.3,31.180000000000007,7.404425481532831,32.03883495145631,24.338517994962686,9.179789895550611,0,47.95774647887324,52.659574468085104,358,Manter vigilância de rotina.,2026-06-19 10:28:33
5106174,Nova Nazaré,ERS Água Boa,laranja,2,verde,34.87,34.9,68.29,17.17,0.0,41.55,5.54,16.25,28.5,27.779999999999998,9.568563991021728,35.3,33.74,12.749363257139503,45.65419474785034,44.07300742463049,2.574811947803395,0,49.08450704225352,16.252955082742314,89,Manter vigilância de rotina. Emitir alerta antecipado para os próximos 7 dias com base na previsão meteorológica.,2026-06-19 10:28:33
5106182,Nova Lacerda,ERS Pontes e Lacerda,verde,0,verde,13.19,13.2,23.86,6.26,0.0,16.05,19.67,26.06,20.1,19.3,0.0,31.6,31.240000000000002,4.623809630054996,45.65419474785034,31.957936323495236,7.189037287038419,0,31.232394366197187,26.063829787234045,316,Manter vigilância de rotina.,2026-06-19 10:28:33
