cod_ibge,sim_obitos_calor_total,gal_positivos_total,gal_testes_total,municipio,regional_saude,populacao_2025,tmax,utci_proxy,risco_cumulativo_3d,pm25_ugm3,score_saude_v9,score_exposicao_v9,score_priorizacao_v9,nivel_priorizacao_v9,tem_modelagem_temporal
5106372,708.0,86.0,329.0,Pedra Preta,ERS Rondonópolis,17446,28.25714285714286,27.594285714285714,1.866737891630277,,73.52112676056338,30.827464788732392,54.31,moderado,0
5100805,251.0,35.0,421.0,Apiacás,ERS Alta Floresta,10283,29.542857142857144,29.645714285714288,4.797394572751934,,48.16901408450704,61.79577464788732,54.3,moderado,0
5107958,3270.0,1095.0,11563.0,Tangará da Serra,ERS Tangará da Serra,105711,24.914285714285715,24.822857142857142,0.15391461117381663,,95.35211267605634,3.9788732394366195,54.23,moderado,0
5101308,569.0,237.0,3203.0,Arenápolis,ERS Tangará da Serra,9502,27.014285714285712,26.945714285714285,2.894207185940974,,74.01408450704224,29.876760563380284,54.15,moderado,0
5106216,492.0,0.0,0.0,Nova Canaã do Norte,ERS Colíder,12831,30.142857142857142,29.982857142857146,5.418038348644983,,42.67605633802816,67.65845070422534,53.92,moderado,0
5107776,220.0,1.0,16.0,Santa Terezinha,ERS Porto Alegre do Norte,8460,31.97142857142857,31.48,6.317019520445053,,33.23943661971831,78.99647887323944,53.83,moderado,0
5108006,294.0,140.0,1093.0,Tapurah,ERS Sinop,14046,29.0,28.74857142857143,3.9263564670858493,,57.25352112676056,49.50704225352113,53.77,moderado,0
5106109,573.0,208.0,3229.0,Nossa Senhora do Livramento,ERS Cuiabá,13104,26.87142857142857,26.580000000000002,3.057563601877887,,73.2394366197183,29.225352112676056,53.43,moderado,0
5101803,2682.0,78.0,1296.0,Barra do Garças,ERS Barra do Garças,61135,27.157142857142855,26.397142857142857,0.30577380952381106,,83.94366197183098,15.563380281690142,53.17,moderado,0
5106240,166.0,85.0,1256.0,Nova Ubiratã,ERS Sinop,12298,30.214285714285715,29.842857142857145,4.829814027822034,,42.394366197183096,65.1056338028169,52.61,moderado,0
5107107,938.0,265.0,1179.0,São José dos Quatro Marcos,ERS Cáceres,18846,25.52857142857143,25.328571428571426,1.7382160034904892,,83.94366197183098,13.380281690140844,52.19,moderado,0
5103700,225.0,17.0,108.0,Feliz Natal,ERS Sinop,14522,30.24285714285714,29.968571428571433,4.4758293881594655,,42.04225352112677,62.99295774647888,51.47,moderado,0
5105622,1271.0,395.0,2191.0,Mirassol d'Oeste,ERS Cáceres,27941,24.914285714285715,24.759999999999998,1.0172357258828764,,88.16901408450704,6.496478873239436,51.42,moderado,0
5102637,644.0,1519.0,23057.0,Campo Novo do Parecis,ERS Tangará da Serra,36143,26.02857142857143,25.874285714285715,1.059296110994994,,82.25352112676057,13.239436619718308,51.2,moderado,0
5106281,244.0,41.0,257.0,Novo São Joaquim,ERS Barra do Garças,4938,30.442857142857143,29.54571428571429,3.2572516321357488,,48.02816901408451,53.62676056338027,50.55,moderado,0
5105176,295.0,24.0,277.0,Juruena,ERS Juína,16335,29.042857142857144,29.002857142857145,3.947190346033107,,50.14084507042253,51.05633802816901,50.55,moderado,0
5106232,531.0,4.0,79.0,Nova Olímpia,ERS Tangará da Serra,20563,27.571428571428573,27.434285714285718,4.0457831580357535,,54.929577464788736,42.57042253521127,49.37,baixo,0
5101258,647.0,1032.0,6304.0,Araputanga,ERS Cáceres,16951,25.0,24.942857142857143,1.402316407520233,,81.54929577464789,9.612676056338028,49.18,baixo,0
5101902,404.0,3.0,32.0,Brasnorte,ERS Juína,20140,28.785714285714285,28.648571428571433,3.979437505460109,,48.87323943661972,48.66197183098591,48.78,baixo,0
5102850,344.0,13.0,166.0,Castanheira,ERS Juína,8749,28.885714285714283,28.834285714285716,3.7853127711959678,,49.154929577464785,47.852112676056336,48.57,baixo,0
5107354,133.0,10.0,48.0,São José do Xingu,ERS Porto Alegre do Norte,5620,31.185714285714287,30.717142857142857,4.84538071111911,,29.577464788732396,70.98591549295774,48.21,baixo,0
5107875,357.0,168.0,1624.0,Sapezal,ERS Tangará da Serra,26688,27.400000000000002,27.194285714285716,2.0381658786940466,,62.60563380281691,28.732394366197184,47.36,baixo,0
5102694,121.0,0.0,5.0,Canabrava do Norte,ERS Porto Alegre do Norte,4728,33.68571428571428,32.74857142857143,8.941431989065512,,16.267605633802816,84.64788732394366,47.04,baixo,0
5108956,208.0,9.0,65.0,Nova Monte Verde,ERS Alta Floresta,9277,29.32857142857143,29.351428571428574,4.198836218498092,,37.32394366197183,56.21478873239437,45.82,baixo,0
5103304,693.0,100.0,1060.0,Comodoro,ERS Pontes e Lacerda,21008,25.67142857142857,25.859999999999996,0.8972843410616674,,73.94366197183098,11.443661971830984,45.82,baixo,0
5107883,17.0,2.0,13.0,Serra Nova Dourada,ERS São Félix do Araguaia,1678,34.01428571428571,32.768571428571434,7.565516860470923,,14.084507042253524,84.01408450704224,45.55,baixo,0
5106505,1614.0,9.0,309.0,Poconé,ERS Cuiabá,33315,25.428571428571427,25.302857142857142,1.7439849144695392,,71.97183098591549,13.098591549295772,45.48,baixo,0
5106190,126.0,151.0,1445.0,Nova Santa Helena,ERS Colíder,3737,29.485714285714288,29.240000000000002,3.5201885677004037,,41.19718309859155,50.563380281690144,45.41,baixo,0
5103502,711.0,44.0,376.0,Diamantino,ERS Diamantino,22178,25.928571428571427,25.882857142857144,1.3982411058047866,,70.56338028169014,14.295774647887326,45.24,baixo,0
5101852,72.0,24.0,152.0,Bom Jesus do Araguaia,ERS Água Boa,6706,31.942857142857143,31.10857142857143,4.229870419984826,,25.2112676056338,69.47183098591549,45.13,baixo,0
5103379,271.0,1.0,25.0,Cotriguaçu,ERS Juína,20238,29.071428571428573,29.111428571428572,4.264325794914781,,37.46478873239437,54.40140845070422,45.09,baixo,0
5103858,109.0,9.0,99.0,Gaúcha do Norte,ERS Água Boa,7782,30.985714285714288,30.48857142857143,4.881443522821361,,25.070422535211268,69.38380281690141,45.01,baixo,0
5106208,235.0,67.0,371.0,Nova Brasilândia,ERS Cuiabá,3805,28.614285714285717,28.282857142857146,3.0493107574648035,,48.87323943661971,40.24647887323944,44.99,baixo,0
5107941,232.0,31.0,572.0,Tabaporã,ERS Juara,9429,28.74285714285714,28.68,3.624740110613834,,44.50704225352113,45.387323943661976,44.9,baixo,0
