data,cod_ibge,municipio,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,co_mgm3,so2_ugm3,fonte,lat,lon,iq_ar_score,qualidade_ar_nivel,poluente_dominante,motivo_qualidade_ar,indice_qualidade_ar_operacional
2026-06-18,5106240,Nova Ubiratã,9.834225133577862,10.297566890696764,,,,,copernicus_cams,-12.685408,-54.622082,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106257,Nova Xavantina,2.0847869933661363,2.152419671418895,,,,,copernicus_cams,-14.677329,-52.444867,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106273,Novo Horizonte do Norte,13.523825614925045,13.837729498203878,,,,,copernicus_cams,-11.386616,-57.277481,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106265,Novo Mundo,6.851055644365461,6.97915461370592,,,,,copernicus_cams,-9.814052,-55.355573,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106315,Novo Santo Antônio,3.829499802233225,4.011098512159057,,,,,copernicus_cams,-12.307695,-50.975442,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106281,Novo São Joaquim,1.7773368365294488,1.828970362415707,,,,,copernicus_cams,-15.062753,-53.213598,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106307,Paranatinga,5.488414193709947,5.790863481546684,,,,,copernicus_cams,-13.340757,-54.284643,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106299,Paranaíta,10.201744573295707,10.362944802931024,,,,,copernicus_cams,-9.565282,-56.645747,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106372,Pedra Preta,2.2062245984359494,2.2671432639728217,,,,,copernicus_cams,-16.790123,-54.235251,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106422,Peixoto de Azevedo,6.560103205752993,6.850269044821791,,,,,copernicus_cams,-10.194253,-53.531827,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106455,Planalto da Serra,2.603344634637536,2.705150041879153,,,,,copernicus_cams,-14.540684,-54.662714,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106505,Poconé,2.5399213941218792,2.5660171912137364,,,,,copernicus_cams,-16.830475,-56.973054,0,verde,—,qualidade do ar em normalidade operacional,0.0
