cod_ibge,municipio,regional_saude,data_referencia,fila_media_h,tempo_espera_h,solicitacoes_abertas,fonte,atualizado_em
5107602,Rondonópolis,,2026-08-29,3393.7050574255904,3393.7050574255904,9352,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107701,Rosário Oeste,,2026-08-29,3936.506224658333,3936.506224658333,2240,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107750,Salto do Céu,,2026-08-29,4187.015406162465,4187.015406162465,417,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107248,Santa Carmem,,2026-08-29,3849.8077280443135,3849.8077280443135,706,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107743,Santa Cruz do Xingu,,2026-08-29,3644.664136622391,3644.664136622391,172,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107768,Santa Rita do Trivelato,,2026-08-29,3451.460388369571,3451.460388369571,356,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107776,Santa Terezinha,,2026-08-29,3921.502870813397,3921.502870813397,442,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107263,Santo Afonso,,2026-08-29,3999.6609459597507,3999.6609459597507,792,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107792,Santo Antônio do Leste,,2026-08-29,3745.778011204482,3745.778011204482,232,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107859,São Félix do Araguaia,,2026-08-29,2858.2051248148928,2858.2051248148928,710,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107297,São José do Povo,,2026-08-29,4088.0709109730847,4088.0709109730847,166,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107305,São José do Rio Claro,,2026-08-29,3960.7391197167317,3960.7391197167317,1133,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107354,São José do Xingu,,2026-08-29,3358.483885508226,3358.483885508226,364,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107107,São José dos Quatro Marcos,,2026-08-29,4115.367118199694,4115.367118199694,1203,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107404,São Pedro da Cipa,,2026-08-29,3894.407738095238,3894.407738095238,373,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107875,Sapezal,,2026-08-29,3979.0148894893646,3979.0148894893646,1019,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107883,Serra Nova Dourada,,2026-08-29,3838.882801664355,3838.882801664355,124,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107909,Sinop,,2026-08-29,3837.9117749008105,3837.9117749008105,107601,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107925,Sorriso,,2026-08-29,3739.847210709562,3739.847210709562,52412,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107941,Tabaporã,,2026-08-29,3600.671150503997,3600.671150503997,516,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107958,Tangará da Serra,,2026-08-29,3765.3880543971827,3765.3880543971827,38102,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108006,Tapurah,,2026-08-29,3726.055470985114,3726.055470985114,1930,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108055,Terra Nova do Norte,,2026-08-29,3601.0526716090917,3601.0526716090917,4944,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108105,Tesouro,,2026-08-29,3050.228787878788,3050.228787878788,181,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108204,Torixoréu,,2026-08-29,4423.836226415095,4423.836226415095,228,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108303,União do Sul,,2026-08-29,3392.6623935300695,3392.6623935300695,650,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108352,Vale de São Domingos,,2026-08-29,4410.409909909909,4410.409909909909,500,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108402,Várzea Grande,,2026-08-29,3750.1428235568446,3750.1428235568446,138830,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108501,Vera,,2026-08-29,3929.63113145847,3929.63113145847,1010,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5105507,Vila Bela da Santíssima Trindade,,2026-08-29,4202.442396313364,4202.442396313364,819,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5108600,Vila Rica,,2026-08-29,3914.651675699708,3914.651675699708,949,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
